name,lat,lng,image
Praia de Copacabana,-22.9711,-43.1822,/imagens/rio.png
Cristo Redentor,-22.9519,-43.2105,/imagens/rio.png
Teatro Amazonas,-3.1319,-60.0236,/imagens/rio.png
